"time_period","Tajima_D","start_time_period","num_resampling","seq_continent","Hussin_name","start_time_period_formatted"
1,NA,2020-01-01,NA,"Africa","VIII","January 01"
1,NA,2020-01-01,NA,"Africa","III","January 01"
1,NA,2020-01-01,NA,"Africa","XVII","January 01"
2,NA,2020-02-01,NA,"Africa","VIII","February 01"
2,NA,2020-02-01,NA,"Africa","III","February 01"
2,NA,2020-02-01,NA,"Africa","XVII","February 01"
3,-1.84345817659779,2020-03-01,1,"Africa","VIII","March 01"
3,-1.98124094238903,2020-03-01,2,"Africa","VIII","March 01"
3,-1.56492823474097,2020-03-01,3,"Africa","VIII","March 01"
3,-1.88607421637935,2020-03-01,4,"Africa","VIII","March 01"
3,-1.63003442980257,2020-03-01,5,"Africa","VIII","March 01"
3,-1.57303745580611,2020-03-01,6,"Africa","VIII","March 01"
3,-2.20853671072825,2020-03-01,7,"Africa","VIII","March 01"
3,-1.83621079620066,2020-03-01,8,"Africa","VIII","March 01"
3,-1.90736675544967,2020-03-01,9,"Africa","VIII","March 01"
3,-1.83133151834921,2020-03-01,10,"Africa","VIII","March 01"
3,-1.81669368479484,2020-03-01,11,"Africa","VIII","March 01"
3,-2.09719742527978,2020-03-01,12,"Africa","VIII","March 01"
3,-1.71011674651825,2020-03-01,13,"Africa","VIII","March 01"
3,-2.07556853950582,2020-03-01,14,"Africa","VIII","March 01"
3,-1.76818843494103,2020-03-01,15,"Africa","VIII","March 01"
3,-1.8729572825279,2020-03-01,16,"Africa","VIII","March 01"
3,-1.98223824852152,2020-03-01,17,"Africa","VIII","March 01"
3,-1.9674626658099,2020-03-01,18,"Africa","VIII","March 01"
3,-1.86351342370446,2020-03-01,19,"Africa","VIII","March 01"
3,-1.7126349512234,2020-03-01,20,"Africa","VIII","March 01"
3,-1.56793006075017,2020-03-01,21,"Africa","VIII","March 01"
3,-1.87560748861574,2020-03-01,22,"Africa","VIII","March 01"
3,-2.11021167170524,2020-03-01,23,"Africa","VIII","March 01"
3,-1.44452028280337,2020-03-01,24,"Africa","VIII","March 01"
3,-1.70447029421136,2020-03-01,25,"Africa","VIII","March 01"
3,-1.6472403891686,2020-03-01,26,"Africa","VIII","March 01"
3,-2.00381038599281,2020-03-01,27,"Africa","VIII","March 01"
3,-1.71910812776573,2020-03-01,28,"Africa","VIII","March 01"
3,-1.65630187357034,2020-03-01,29,"Africa","VIII","March 01"
3,-1.91482391813483,2020-03-01,30,"Africa","VIII","March 01"
3,-1.86871835032618,2020-03-01,31,"Africa","VIII","March 01"
3,-1.72395421300378,2020-03-01,32,"Africa","VIII","March 01"
3,-1.78907487172568,2020-03-01,33,"Africa","VIII","March 01"
3,-1.75326307272592,2020-03-01,34,"Africa","VIII","March 01"
3,-1.85531832661111,2020-03-01,35,"Africa","VIII","March 01"
3,-1.91305742713812,2020-03-01,36,"Africa","VIII","March 01"
3,-1.900394223577,2020-03-01,37,"Africa","VIII","March 01"
3,-1.6472403891686,2020-03-01,38,"Africa","VIII","March 01"
3,-1.91499797532329,2020-03-01,39,"Africa","VIII","March 01"
3,-1.93793994783133,2020-03-01,40,"Africa","VIII","March 01"
3,-1.99091441280516,2020-03-01,41,"Africa","VIII","March 01"
3,-2.07974221451956,2020-03-01,42,"Africa","VIII","March 01"
3,-1.9264774364526,2020-03-01,43,"Africa","VIII","March 01"
3,-1.42768237384524,2020-03-01,44,"Africa","VIII","March 01"
3,-1.90696032504677,2020-03-01,45,"Africa","VIII","March 01"
3,-1.94682596996777,2020-03-01,46,"Africa","VIII","March 01"
