"time_period","Tajima_D","start_time_period","num_resampling","seq_continent","Hussin_name","start_time_period_formatted"
1,NA,2020-01-01,NA,"Asia","V","January 01"
1,NA,2020-01-01,NA,"Asia","VIII","January 01"
1,-2.46825288325897,2020-01-01,1,"Asia","I","January 01"
1,-2.39976738804381,2020-01-01,2,"Asia","I","January 01"
1,-2.4481652408762,2020-01-01,3,"Asia","I","January 01"
1,-2.53597559429905,2020-01-01,4,"Asia","I","January 01"
1,-2.35001356682902,2020-01-01,5,"Asia","I","January 01"
1,-2.36243992774478,2020-01-01,6,"Asia","I","January 01"
1,-2.56873575869854,2020-01-01,7,"Asia","I","January 01"
1,-2.49436678310599,2020-01-01,8,"Asia","I","January 01"
1,-2.4721954581961,2020-01-01,9,"Asia","I","January 01"
1,-2.59173878944737,2020-01-01,10,"Asia","I","January 01"
1,-2.68045734163515,2020-01-01,11,"Asia","I","January 01"
1,-2.6058561473093,2020-01-01,12,"Asia","I","January 01"
1,-2.42356303276089,2020-01-01,13,"Asia","I","January 01"
1,-2.33145749812342,2020-01-01,14,"Asia","I","January 01"
1,-2.18353923108666,2020-01-01,15,"Asia","I","January 01"
1,-2.17534320826039,2020-01-01,16,"Asia","I","January 01"
1,-2.46292592066136,2020-01-01,17,"Asia","I","January 01"
1,-2.50446208812574,2020-01-01,18,"Asia","I","January 01"
1,-2.54836313342675,2020-01-01,19,"Asia","I","January 01"
1,-2.47477757474459,2020-01-01,20,"Asia","I","January 01"
1,-2.36479371080972,2020-01-01,21,"Asia","I","January 01"
1,-1.95860796035373,2020-01-01,22,"Asia","I","January 01"
1,-2.40186298609692,2020-01-01,23,"Asia","I","January 01"
1,-2.35430945738631,2020-01-01,24,"Asia","I","January 01"
1,-2.50355784941856,2020-01-01,25,"Asia","I","January 01"
1,-2.52349686628207,2020-01-01,26,"Asia","I","January 01"
1,-2.30160111124315,2020-01-01,27,"Asia","I","January 01"
1,-2.4111153529503,2020-01-01,28,"Asia","I","January 01"
1,-2.49622567551599,2020-01-01,29,"Asia","I","January 01"
1,-2.37282773459167,2020-01-01,30,"Asia","I","January 01"
1,-2.44039611101208,2020-01-01,31,"Asia","I","January 01"
1,-2.34240117112504,2020-01-01,32,"Asia","I","January 01"
1,-2.18605743579181,2020-01-01,33,"Asia","I","January 01"
1,-2.26631031381274,2020-01-01,34,"Asia","I","January 01"
1,-2.54199653734039,2020-01-01,35,"Asia","I","January 01"
1,-2.63397272491368,2020-01-01,36,"Asia","I","January 01"
1,-2.66172442536711,2020-01-01,37,"Asia","I","January 01"
1,-2.13442150377986,2020-01-01,38,"Asia","I","January 01"
1,-2.39669638756793,2020-01-01,39,"Asia","I","January 01"
1,-2.62238431644542,2020-01-01,40,"Asia","I","January 01"
1,-2.41557180048877,2020-01-01,41,"Asia","I","January 01"
1,-2.35225894633179,2020-01-01,42,"Asia","I","January 01"
1,-2.24634273883049,2020-01-01,43,"Asia","I","January 01"
1,-2.48634403815755,2020-01-01,44,"Asia","I","January 01"
1,-2.5980015666478,2020-01-01,45,"Asia","I","January 01"
1,-2.40971300298184,2020-01-01,46,"Asia","I","January 01"
1,-2.41838769313729,2020-01-01,47,"Asia","I","January 01"
1,-2.21822510259271,2020-01-01,48,"Asia","I","January 01"
1,-2.54614572358748,2020-01-01,49,"Asia","I","January 01"
1,-2.60490618137387,2020-01-01,50,"Asia","I","January 01"
1,-2.40464666589526,2020-01-01,51,"Asia","I","January 01"
1,-2.52922754847841,2020-01-01,52,"Asia","I","January 01"
1,-2.59733102580356,2020-01-01,53,"Asia","I","January 01"
1,-1.63312755780114,2020-01-01,54,"Asia","I","January 01"
1,-2.28245996402085,2020-01-01,55,"Asia","I","January 01"
1,-2.18857564049697,2020-01-01,56,"Asia","I","January 01"
1,-2.50481545239572,2020-01-01,57,"Asia","I","January 01"
1,-2.64185248742417,2020-01-01,58,"Asia","I","January 01"
1,-2.3232969892394,2020-01-01,59,"Asia","I","January 01"
1,-2.20709492971635,2020-01-01,60,"Asia","I","January 01"
1,-2.25635894731509,2020-01-01,61,"Asia","I","January 01"
1,-2.34048786664071,2020-01-01,62,"Asia","I","January 01"
1,-2.31967365318661,2020-01-01,63,"Asia","I","January 01"
1,-2.18102595278632,2020-01-01,64,"Asia","I","January 01"
1,-2.53194790151232,2020-01-01,65,"Asia","I","January 01"
1,-2.37206955269655,2020-01-01,66,"Asia","I","January 01"
1,-2.60659762155205,2020-01-01,67,"Asia","I","January 01"
1,-2.59514338653039,2020-01-01,68,"Asia","I","January 01"
1,-2.44664807446995,2020-01-01,69,"Asia","I","January 01"
1,-2.58202281828655,2020-01-01,70,"Asia","I","January 01"
1,-2.49622567551599,2020-01-01,71,"Asia","I","January 01"
1,-2.14691978969161,2020-01-01,72,"Asia","I","January 01"
1,-2.46484533030403,2020-01-01,73,"Asia","I","January 01"
1,-2.5731536677668,2020-01-01,74,"Asia","I","January 01"
1,-2.38435359398413,2020-01-01,75,"Asia","I","January 01"
1,-2.25751073127267,2020-01-01,76,"Asia","I","January 01"
1,-2.41066389577171,2020-01-01,77,"Asia","I","January 01"
1,-2.41165716568572,2020-01-01,78,"Asia","I","January 01"
1,-2.48421056685604,2020-01-01,79,"Asia","I","January 01"
1,-2.51749273235825,2020-01-01,80,"Asia","I","January 01"
1,-2.48114001204728,2020-01-01,81,"Asia","I","January 01"
1,-2.55399300883107,2020-01-01,82,"Asia","I","January 01"
1,-2.49247366722146,2020-01-01,83,"Asia","I","January 01"
1,-2.53751986172337,2020-01-01,84,"Asia","I","January 01"
1,-2.44510958721952,2020-01-01,85,"Asia","I","January 01"
1,-2.77858072902471,2020-01-01,86,"Asia","I","January 01"
1,-2.30935918908786,2020-01-01,87,"Asia","I","January 01"
1,-2.40086317520725,2020-01-01,88,"Asia","I","January 01"
1,-2.47408473047113,2020-01-01,89,"Asia","I","January 01"
1,-2.59554281108465,2020-01-01,90,"Asia","I","January 01"
1,-2.60006975144698,2020-01-01,91,"Asia","I","January 01"
1,-2.44913304455885,2020-01-01,92,"Asia","I","January 01"
