"time_period","Tajima_D","start_time_period","num_resampling","seq_continent","Hussin_name","start_time_period_formatted"
1,NA,2020-01-01,NA,"Europe","XIV","January 01"
1,NA,2020-01-01,NA,"Europe","VIII","January 01"
1,NA,2020-01-01,NA,"Europe","III","January 01"
2,NA,2020-02-01,NA,"Europe","XIV","February 01"
2,-2.08907649262436,2020-02-01,1,"Europe","VIII","February 01"
2,-2.28836830295936,2020-02-01,2,"Europe","VIII","February 01"
2,-2.14225126627645,2020-02-01,3,"Europe","VIII","February 01"
2,-2.1465259682597,2020-02-01,4,"Europe","VIII","February 01"
2,-2.17390729765395,2020-02-01,5,"Europe","VIII","February 01"
2,-1.53805623892118,2020-02-01,6,"Europe","VIII","February 01"
2,-2.31749006563954,2020-02-01,7,"Europe","VIII","February 01"
2,-2.23837870947644,2020-02-01,8,"Europe","VIII","February 01"
2,-2.1840869942575,2020-02-01,9,"Europe","VIII","February 01"
2,-2.13658174344093,2020-02-01,10,"Europe","VIII","February 01"
2,-2.36302650322515,2020-02-01,11,"Europe","VIII","February 01"
2,-2.28930382870301,2020-02-01,12,"Europe","VIII","February 01"
2,-2.17519161040301,2020-02-01,13,"Europe","VIII","February 01"
2,-2.24670536657568,2020-02-01,14,"Europe","VIII","February 01"
2,-2.23686491226999,2020-02-01,15,"Europe","VIII","February 01"
2,-2.2542308254662,2020-02-01,16,"Europe","VIII","February 01"
2,-2.00267644299785,2020-02-01,17,"Europe","VIII","February 01"
2,-2.13165952500928,2020-02-01,18,"Europe","VIII","February 01"
2,-2.46563763903846,2020-02-01,19,"Europe","VIII","February 01"
2,-2.13415067136116,2020-02-01,20,"Europe","VIII","February 01"
2,-2.24855840607999,2020-02-01,21,"Europe","VIII","February 01"
2,-2.35476750146455,2020-02-01,22,"Europe","VIII","February 01"
2,-2.34064810487763,2020-02-01,23,"Europe","VIII","February 01"
2,-2.16598382667101,2020-02-01,24,"Europe","VIII","February 01"
2,-2.42086345636796,2020-02-01,25,"Europe","VIII","February 01"
2,-2.02995684451067,2020-02-01,26,"Europe","VIII","February 01"
2,-2.57819834914545,2020-02-01,27,"Europe","VIII","February 01"
2,-1.75513153775137,2020-02-01,28,"Europe","VIII","February 01"
2,-2.43366116631879,2020-02-01,29,"Europe","VIII","February 01"
2,-2.09246972482555,2020-02-01,30,"Europe","VIII","February 01"
2,-2.01911072154326,2020-02-01,31,"Europe","VIII","February 01"
2,-2.22897947796394,2020-02-01,32,"Europe","VIII","February 01"
2,-2.33085169918154,2020-02-01,33,"Europe","VIII","February 01"
2,-1.79956519084117,2020-02-01,34,"Europe","VIII","February 01"
2,-2.16825422523951,2020-02-01,35,"Europe","VIII","February 01"
2,-2.56777045103076,2020-02-01,36,"Europe","VIII","February 01"
2,-2.24783320880935,2020-02-01,37,"Europe","VIII","February 01"
2,-2.0796269736328,2020-02-01,38,"Europe","VIII","February 01"
2,-2.27795060863352,2020-02-01,39,"Europe","VIII","February 01"
2,-2.39030001147079,2020-02-01,40,"Europe","VIII","February 01"
2,-2.25964899252187,2020-02-01,41,"Europe","VIII","February 01"
2,-2.31803142005746,2020-02-01,42,"Europe","VIII","February 01"
2,-2.19765992306224,2020-02-01,43,"Europe","VIII","February 01"
2,-2.07212724960629,2020-02-01,44,"Europe","VIII","February 01"
2,-2.58420721587746,2020-02-01,45,"Europe","VIII","February 01"
2,-2.09273828308493,2020-02-01,46,"Europe","VIII","February 01"
2,-2.1378915988773,2020-02-01,47,"Europe","VIII","February 01"
2,-2.30951226813796,2020-02-01,48,"Europe","VIII","February 01"
2,-2.18030256662798,2020-02-01,49,"Europe","VIII","February 01"
2,-2.30068695811826,2020-02-01,50,"Europe","VIII","February 01"
2,-2.21757772903455,2020-02-01,51,"Europe","VIII","February 01"
2,-2.24687446020004,2020-02-01,52,"Europe","VIII","February 01"
2,-2.17519161040301,2020-02-01,53,"Europe","VIII","February 01"
2,-2.05114123784239,2020-02-01,54,"Europe","VIII","February 01"
2,-2.15667533839839,2020-02-01,55,"Europe","VIII","February 01"
2,-2.37012156538079,2020-02-01,56,"Europe","VIII","February 01"
2,-2.26475710896227,2020-02-01,57,"Europe","VIII","February 01"
2,-2.1375841455888,2020-02-01,58,"Europe","VIII","February 01"
2,-1.96302312882295,2020-02-01,59,"Europe","VIII","February 01"
2,-2.53751986172337,2020-02-01,60,"Europe","VIII","February 01"
2,-1.73411061276941,2020-02-01,61,"Europe","VIII","February 01"
2,-1.94924199592038,2020-02-01,62,"Europe","VIII","February 01"
2,-2.38564453783502,2020-02-01,63,"Europe","VIII","February 01"
2,-2.2245245553278,2020-02-01,64,"Europe","VIII","February 01"
2,-2.33128264292623,2020-02-01,65,"Europe","VIII","February 01"
2,-2.1230088146362,2020-02-01,66,"Europe","VIII","February 01"
2,-2.1433682078433,2020-02-01,67,"Europe","VIII","February 01"
2,-1.68330884688588,2020-02-01,68,"Europe","VIII","February 01"
2,-1.97680426172552,2020-02-01,69,"Europe","VIII","February 01"
2,-2.2134249628866,2020-02-01,70,"Europe","VIII","February 01"
2,-2.54614292755919,2020-02-01,71,"Europe","VIII","February 01"
2,-2.30637925901459,2020-02-01,72,"Europe","VIII","February 01"
2,-2.46234919787753,2020-02-01,73,"Europe","VIII","February 01"
2,-2.52562027114544,2020-02-01,74,"Europe","VIII","February 01"
2,-2.45872767263307,2020-02-01,75,"Europe","VIII","February 01"
2,-2.14217785655633,2020-02-01,76,"Europe","VIII","February 01"
2,-1.98174094901447,2020-02-01,77,"Europe","VIII","February 01"
2,-2.08001099026854,2020-02-01,78,"Europe","VIII","February 01"
2,-2.15880208917928,2020-02-01,79,"Europe","VIII","February 01"
2,-2.08705332494606,2020-02-01,80,"Europe","VIII","February 01"
2,-2.00267644299785,2020-02-01,81,"Europe","VIII","February 01"
2,-1.90804633856307,2020-02-01,82,"Europe","VIII","February 01"
2,-1.951838985891,2020-02-01,83,"Europe","VIII","February 01"
2,-2.13165952500928,2020-02-01,84,"Europe","VIII","February 01"
2,-1.73090161621802,2020-02-01,85,"Europe","VIII","February 01"
2,-2.34705856485328,2020-02-01,86,"Europe","VIII","February 01"
2,-2.43308255175719,2020-02-01,87,"Europe","VIII","February 01"
2,-2.29737378098697,2020-02-01,88,"Europe","VIII","February 01"
2,-2.46547603750245,2020-02-01,89,"Europe","VIII","February 01"
2,-2.40531626736048,2020-02-01,90,"Europe","VIII","February 01"
2,-2.29591800586094,2020-02-01,91,"Europe","VIII","February 01"
2,-1.95748217699796,2020-02-01,92,"Europe","VIII","February 01"
2,-2.19484190882357,2020-02-01,93,"Europe","VIII","February 01"
2,-1.99517910559561,2020-02-01,94,"Europe","VIII","February 01"
2,-2.22457479532441,2020-02-01,95,"Europe","VIII","February 01"
2,-2.31313408200698,2020-02-01,96,"Europe","VIII","February 01"
2,-1.96014772748809,2020-02-01,97,"Europe","VIII","February 01"
2,-2.07282882810112,2020-02-01,98,"Europe","VIII","February 01"
2,-1.77994136154439,2020-02-01,99,"Europe","VIII","February 01"
2,-2.20131534869241,2020-02-01,100,"Europe","VIII","February 01"
2,-2.31567353967391,2020-02-01,101,"Europe","VIII","February 01"
2,-2.42585911554225,2020-02-01,102,"Europe","VIII","February 01"
2,-2.04496447400898,2020-02-01,103,"Europe","VIII","February 01"
2,-2.40795217178575,2020-02-01,104,"Europe","VIII","February 01"
2,-2.0018288386281,2020-02-01,105,"Europe","VIII","February 01"
2,-2.17254224394794,2020-02-01,106,"Europe","VIII","February 01"
2,-2.45251786844083,2020-02-01,107,"Europe","VIII","February 01"
2,-2.3344044635767,2020-02-01,108,"Europe","VIII","February 01"
2,-1.91639648063443,2020-02-01,109,"Europe","VIII","February 01"
2,-2.54112429921812,2020-02-01,110,"Europe","VIII","February 01"
