"time_period","Tajima_D","start_time_period","num_resampling","seq_continent","Hussin_name","start_time_period_formatted"
1,NA,2020-01-01,NA,"North America","II","January 01"
1,NA,2020-01-01,NA,"North America","III","January 01"
1,NA,2020-01-01,NA,"North America","VIII","January 01"
2,NA,2020-02-01,NA,"North America","II","February 01"
2,NA,2020-02-01,NA,"North America","III","February 01"
2,NA,2020-02-01,NA,"North America","VIII","February 01"
3,-2.25338905250013,2020-03-01,1,"North America","II","March 01"
3,-2.30160111124315,2020-03-01,2,"North America","II","March 01"
3,-2.48320559099965,2020-03-01,3,"North America","II","March 01"
3,-2.320922163714,2020-03-01,4,"North America","II","March 01"
3,-2.40475372975346,2020-03-01,5,"North America","II","March 01"
3,-2.17060349357427,2020-03-01,6,"North America","II","March 01"
3,-2.34436695648527,2020-03-01,7,"North America","II","March 01"
3,-2.43690579011003,2020-03-01,8,"North America","II","March 01"
3,-2.61532371166257,2020-03-01,9,"North America","II","March 01"
3,-2.30706110886615,2020-03-01,10,"North America","II","March 01"
3,-2.25751073127267,2020-03-01,11,"North America","II","March 01"
3,-2.5288115000147,2020-03-01,12,"North America","II","March 01"
3,-2.37695583864123,2020-03-01,13,"North America","II","March 01"
3,-2.55269605017098,2020-03-01,14,"North America","II","March 01"
3,-2.55102500143893,2020-03-01,15,"North America","II","March 01"
3,-2.13772976259744,2020-03-01,16,"North America","II","March 01"
3,-2.46279772467806,2020-03-01,17,"North America","II","March 01"
3,-2.36323302163508,2020-03-01,18,"North America","II","March 01"
3,-2.54867891333358,2020-03-01,19,"North America","II","March 01"
3,-2.47147968952086,2020-03-01,20,"North America","II","March 01"
3,-2.53794321692222,2020-03-01,21,"North America","II","March 01"
3,-2.25873810268354,2020-03-01,22,"North America","II","March 01"
3,-2.50636712353748,2020-03-01,23,"North America","II","March 01"
3,-2.19984007364546,2020-03-01,24,"North America","II","March 01"
3,-2.3203904750208,2020-03-01,25,"North America","II","March 01"
3,-2.37410799752378,2020-03-01,26,"North America","II","March 01"
3,-2.21123285186697,2020-03-01,27,"North America","II","March 01"
3,-2.45075111983819,2020-03-01,28,"North America","II","March 01"
3,-2.42086345636796,2020-03-01,29,"North America","II","March 01"
3,-2.35884539845606,2020-03-01,30,"North America","II","March 01"
3,-2.48759438937001,2020-03-01,31,"North America","II","March 01"
3,-2.57739856360534,2020-03-01,32,"North America","II","March 01"
3,-2.49491330614719,2020-03-01,33,"North America","II","March 01"
3,-2.33826662565319,2020-03-01,34,"North America","II","March 01"
3,-2.71320508941836,2020-03-01,35,"North America","II","March 01"
3,-2.48318618536347,2020-03-01,36,"North America","II","March 01"
3,-2.44595197648673,2020-03-01,37,"North America","II","March 01"
3,-2.39298732290266,2020-03-01,38,"North America","II","March 01"
3,-2.23628508879068,2020-03-01,39,"North America","II","March 01"
3,-2.47356415815013,2020-03-01,40,"North America","II","March 01"
3,-2.49249247158529,2020-03-01,41,"North America","II","March 01"
3,-2.45788159235481,2020-03-01,42,"North America","II","March 01"
3,-2.20709492971635,2020-03-01,43,"North America","II","March 01"
3,-2.33794921220498,2020-03-01,44,"North America","II","March 01"
3,-2.36243992774478,2020-03-01,45,"North America","II","March 01"
3,-2.303992830965,2020-03-01,46,"North America","II","March 01"
3,-2.28859104596749,2020-03-01,47,"North America","II","March 01"
3,-2.19484190882357,2020-03-01,48,"North America","II","March 01"
3,-2.43021688150969,2020-03-01,49,"North America","II","March 01"
3,-2.47051691688991,2020-03-01,50,"North America","II","March 01"
3,-2.57139457708059,2020-03-01,51,"North America","II","March 01"
3,-2.52052348582709,2020-03-01,52,"North America","II","March 01"
3,-2.43633440132611,2020-03-01,53,"North America","II","March 01"
3,-2.40413777628878,2020-03-01,54,"North America","II","March 01"
3,-2.39688561919259,2020-03-01,55,"North America","II","March 01"
3,-2.42345047337358,2020-03-01,56,"North America","II","March 01"
3,-2.39669638756793,2020-03-01,57,"North America","II","March 01"
3,-2.45710242987285,2020-03-01,58,"North America","II","March 01"
3,-2.19632849624427,2020-03-01,59,"North America","II","March 01"
3,-2.48949064557609,2020-03-01,60,"North America","II","March 01"
3,-2.61577801668038,2020-03-01,61,"North America","II","March 01"
3,-2.55605372975967,2020-03-01,62,"North America","II","March 01"
3,-2.50063906446913,2020-03-01,63,"North America","II","March 01"
3,-2.29267042469538,2020-03-01,64,"North America","II","March 01"
3,-2.45298713453783,2020-03-01,65,"North America","II","March 01"
3,-2.47147968952086,2020-03-01,66,"North America","II","March 01"
3,-2.60006975144698,2020-03-01,67,"North America","II","March 01"
3,-2.47853799899215,2020-03-01,68,"North America","II","March 01"
3,-2.41783855757989,2020-03-01,69,"North America","II","March 01"
3,-2.56322319606757,2020-03-01,70,"North America","II","March 01"
3,-2.16529343658195,2020-03-01,71,"North America","II","March 01"
3,-2.39709515406697,2020-03-01,72,"North America","II","March 01"
3,-1.99426435594442,2020-03-01,73,"North America","II","March 01"
3,-2.50189639273018,2020-03-01,74,"North America","II","March 01"
3,-2.12212065934512,2020-03-01,75,"North America","II","March 01"
3,-2.32138834848362,2020-03-01,76,"North America","II","March 01"
3,-2.4421098162203,2020-03-01,77,"North America","II","March 01"
3,-2.64246482146549,2020-03-01,78,"North America","II","March 01"
3,-2.29141806189473,2020-03-01,79,"North America","II","March 01"
3,-2.18794795551347,2020-03-01,80,"North America","II","March 01"
3,-2.47445945168109,2020-03-01,81,"North America","II","March 01"
3,-2.36589982342941,2020-03-01,82,"North America","II","March 01"
3,-2.18594198451873,2020-03-01,83,"North America","II","March 01"
3,-2.22171232977693,2020-03-01,84,"North America","II","March 01"
3,-1.97802502517973,2020-03-01,85,"North America","II","March 01"
3,-2.5873331506556,2020-03-01,86,"North America","II","March 01"
3,-2.26361870544472,2020-03-01,87,"North America","II","March 01"
3,-2.38431168969207,2020-03-01,88,"North America","II","March 01"
3,-2.39918199862244,2020-03-01,89,"North America","II","March 01"
3,-2.40308451788691,2020-03-01,90,"North America","II","March 01"
3,-2.53008793387851,2020-03-01,91,"North America","II","March 01"
3,-2.62658140849151,2020-03-01,92,"North America","II","March 01"
3,-2.23939423013256,2020-03-01,93,"North America","II","March 01"
3,-2.16954405563705,2020-03-01,94,"North America","II","March 01"
3,-2.64044387696725,2020-03-01,95,"North America","II","March 01"
3,-2.41838769313729,2020-03-01,96,"North America","II","March 01"
3,-2.49249247158529,2020-03-01,97,"North America","II","March 01"
3,-2.64456301208307,2020-03-01,98,"North America","II","March 01"
