"time_period","Tajima_D","start_time_period","num_resampling","seq_continent","Hussin_name","start_time_period_formatted"
1,NA,2020-01-01,NA,"Oceania","XI","January 01"
1,NA,2020-01-01,NA,"Oceania","II","January 01"
1,NA,2020-01-01,NA,"Oceania","VIII","January 01"
2,NA,2020-02-01,NA,"Oceania","XI","February 01"
2,NA,2020-02-01,NA,"Oceania","II","February 01"
2,NA,2020-02-01,NA,"Oceania","VIII","February 01"
3,NA,2020-03-01,NA,"Oceania","XI","March 01"
3,-2.27399737914747,2020-03-01,1,"Oceania","II","March 01"
3,-2.20459627398557,2020-03-01,2,"Oceania","II","March 01"
3,-2.36633926429874,2020-03-01,3,"Oceania","II","March 01"
3,-2.2427649042768,2020-03-01,4,"Oceania","II","March 01"
3,-2.22573052211085,2020-03-01,5,"Oceania","II","March 01"
3,-2.21492565313203,2020-03-01,6,"Oceania","II","March 01"
3,-2.24119085787149,2020-03-01,7,"Oceania","II","March 01"
3,-1.98583370124873,2020-03-01,8,"Oceania","II","March 01"
3,-2.21265345820859,2020-03-01,9,"Oceania","II","March 01"
3,-2.50022269353602,2020-03-01,10,"Oceania","II","March 01"
3,-2.15577971127004,2020-03-01,11,"Oceania","II","March 01"
3,-2.17346641226606,2020-03-01,12,"Oceania","II","March 01"
3,-2.075295410922,2020-03-01,13,"Oceania","II","March 01"
3,-1.916021650364,2020-03-01,14,"Oceania","II","March 01"
3,-2.3784230832355,2020-03-01,15,"Oceania","II","March 01"
3,-2.17927572454387,2020-03-01,16,"Oceania","II","March 01"
3,-2.18794795551347,2020-03-01,17,"Oceania","II","March 01"
3,-2.05656242568537,2020-03-01,18,"Oceania","II","March 01"
3,-2.26855166988171,2020-03-01,19,"Oceania","II","March 01"
3,-2.14360530084238,2020-03-01,20,"Oceania","II","March 01"
3,-2.09402427349094,2020-03-01,21,"Oceania","II","March 01"
3,-2.21432564310894,2020-03-01,22,"Oceania","II","March 01"
3,-2.32251966641367,2020-03-01,23,"Oceania","II","March 01"
3,-1.91043656448628,2020-03-01,24,"Oceania","II","March 01"
3,-2.26735552089492,2020-03-01,25,"Oceania","II","March 01"
3,-1.8349131595024,2020-03-01,26,"Oceania","II","March 01"
3,-2.11278862044361,2020-03-01,27,"Oceania","II","March 01"
3,-2.30462146994042,2020-03-01,28,"Oceania","II","March 01"
3,-1.74513200049833,2020-03-01,29,"Oceania","II","March 01"
3,-2.19836478941067,2020-03-01,30,"Oceania","II","March 01"
3,-2.34696213991431,2020-03-01,31,"Oceania","II","March 01"
3,-1.83510439406805,2020-03-01,32,"Oceania","II","March 01"
3,-1.85833670294388,2020-03-01,33,"Oceania","II","March 01"
3,-2.09998787629663,2020-03-01,34,"Oceania","II","March 01"
3,-2.44858207876728,2020-03-01,35,"Oceania","II","March 01"
3,-2.46292592066136,2020-03-01,36,"Oceania","II","March 01"
3,-2.3716254454642,2020-03-01,37,"Oceania","II","March 01"
3,-2.23733726080287,2020-03-01,38,"Oceania","II","March 01"
3,-2.08124230832422,2020-03-01,39,"Oceania","II","March 01"
3,-2.30076807189375,2020-03-01,40,"Oceania","II","March 01"
3,-1.92891707537832,2020-03-01,41,"Oceania","II","March 01"
3,-2.08917077559216,2020-03-01,42,"Oceania","II","March 01"
3,-2.38123177333366,2020-03-01,43,"Oceania","II","March 01"
3,-2.20105315526342,2020-03-01,44,"Oceania","II","March 01"
3,-1.99939787873569,2020-03-01,45,"Oceania","II","March 01"
3,-1.81315918616313,2020-03-01,46,"Oceania","II","March 01"
3,-1.89007982218993,2020-03-01,47,"Oceania","II","March 01"
3,-2.38356936785657,2020-03-01,48,"Oceania","II","March 01"
3,-2.25323712666462,2020-03-01,49,"Oceania","II","March 01"
3,-2.09750030817046,2020-03-01,50,"Oceania","II","March 01"
3,-2.39012469481713,2020-03-01,51,"Oceania","II","March 01"
3,-2.4162343453621,2020-03-01,52,"Oceania","II","March 01"
3,-2.43435930707087,2020-03-01,53,"Oceania","II","March 01"
