"time_period","Tajima_D","start_time_period","num_resampling","seq_continent","Hussin_name","start_time_period_formatted"
1,NA,2020-01-01,NA,"South America","VIII","January 01"
1,NA,2020-01-01,NA,"South America","III","January 01"
1,NA,2020-01-01,NA,"South America","II","January 01"
2,NA,2020-02-01,NA,"South America","VIII","February 01"
2,NA,2020-02-01,NA,"South America","III","February 01"
2,NA,2020-02-01,NA,"South America","II","February 01"
3,-1.93524248454653,2020-03-01,1,"South America","VIII","March 01"
3,-1.81107796749577,2020-03-01,2,"South America","VIII","March 01"
3,-1.84427862145379,2020-03-01,3,"South America","VIII","March 01"
3,-2.10065267274143,2020-03-01,4,"South America","VIII","March 01"
3,-1.61224948038436,2020-03-01,5,"South America","VIII","March 01"
3,-2.23226577082359,2020-03-01,6,"South America","VIII","March 01"
3,-1.81502466993341,2020-03-01,7,"South America","VIII","March 01"
3,-1.90973259312415,2020-03-01,8,"South America","VIII","March 01"
3,-1.87226895714632,2020-03-01,9,"South America","VIII","March 01"
3,-1.8687362146742,2020-03-01,10,"South America","VIII","March 01"
3,-1.75554302999039,2020-03-01,11,"South America","VIII","March 01"
3,-1.54458383900922,2020-03-01,12,"South America","VIII","March 01"
3,-1.68241649476159,2020-03-01,13,"South America","VIII","March 01"
3,-2.20782814010859,2020-03-01,14,"South America","VIII","March 01"
3,-2.04845938273899,2020-03-01,15,"South America","VIII","March 01"
3,-1.95139213475463,2020-03-01,16,"South America","VIII","March 01"
3,-1.72404644624538,2020-03-01,17,"South America","VIII","March 01"
3,-1.47187162845562,2020-03-01,18,"South America","VIII","March 01"
3,-1.91910519213871,2020-03-01,19,"South America","VIII","March 01"
3,-1.61847145517643,2020-03-01,20,"South America","VIII","March 01"
3,-1.85905164158008,2020-03-01,21,"South America","VIII","March 01"
3,-1.79480681822496,2020-03-01,22,"South America","VIII","March 01"
3,-1.92151659132141,2020-03-01,23,"South America","VIII","March 01"
3,-2.0524287047145,2020-03-01,24,"South America","VIII","March 01"
3,-1.64448814808523,2020-03-01,25,"South America","VIII","March 01"
3,-1.72092337813983,2020-03-01,26,"South America","VIII","March 01"
3,-1.62196292891586,2020-03-01,27,"South America","VIII","March 01"
3,-1.61206765163309,2020-03-01,28,"South America","VIII","March 01"
3,-1.76778233265536,2020-03-01,29,"South America","VIII","March 01"
3,-2.29630628976937,2020-03-01,30,"South America","VIII","March 01"
3,-2.17382025980744,2020-03-01,31,"South America","VIII","March 01"
3,-1.90590035388607,2020-03-01,32,"South America","VIII","March 01"
3,-1.75062400193986,2020-03-01,33,"South America","VIII","March 01"
3,-1.76818843494103,2020-03-01,34,"South America","VIII","March 01"
