"time_period","Tajima_D","start_time_period","num_resampling","seq_continent","Hussin_name","start_time_period_formatted"
1,-2.27985923729803,2020-08-01,1,"Africa","VIII","August 01"
1,-2.3497594288739,2020-08-01,2,"Africa","VIII","August 01"
1,-2.22428058631582,2020-08-01,3,"Africa","VIII","August 01"
1,-2.14211980286696,2020-08-01,4,"Africa","VIII","August 01"
1,-2.2492561765669,2020-08-01,5,"Africa","VIII","August 01"
1,-2.45223612567993,2020-08-01,6,"Africa","VIII","August 01"
1,-2.17023901924388,2020-08-01,7,"Africa","VIII","August 01"
1,-2.30589731522444,2020-08-01,8,"Africa","VIII","August 01"
1,-2.10873698918185,2020-08-01,9,"Africa","VIII","August 01"
1,-2.11208892061452,2020-08-01,10,"Africa","VIII","August 01"
1,-1.94537244725453,2020-08-01,11,"Africa","VIII","August 01"
1,-2.27815034186308,2020-08-01,12,"Africa","VIII","August 01"
1,-2.22669895698736,2020-08-01,13,"Africa","VIII","August 01"
1,-2.19238416583761,2020-08-01,14,"Africa","VIII","August 01"
1,-2.28972723637171,2020-08-01,15,"Africa","VIII","August 01"
1,-2.41643638414695,2020-08-01,16,"Africa","VIII","August 01"
1,-2.35588061991417,2020-08-01,17,"Africa","VIII","August 01"
1,-2.29237350572645,2020-08-01,18,"Africa","VIII","August 01"
1,-2.25327058868782,2020-08-01,19,"Africa","VIII","August 01"
1,-2.33328352822558,2020-08-01,20,"Africa","VIII","August 01"
1,-2.06619304684986,2020-08-01,21,"Africa","VIII","August 01"
1,-2.20806545120959,2020-08-01,22,"Africa","VIII","August 01"
1,-2.18200232028036,2020-08-01,23,"Africa","VIII","August 01"
1,-2.25087401734027,2020-08-01,24,"Africa","VIII","August 01"
1,-2.30585919631759,2020-08-01,25,"Africa","VIII","August 01"
1,-2.34364335702866,2020-08-01,26,"Africa","VIII","August 01"
1,-2.11482376442253,2020-08-01,27,"Africa","VIII","August 01"
1,-2.21405980476093,2020-08-01,28,"Africa","VIII","August 01"
1,-2.19528811030458,2020-08-01,29,"Africa","VIII","August 01"
1,-2.23234792021448,2020-08-01,30,"Africa","VIII","August 01"
1,-2.23481857420848,2020-08-01,31,"Africa","VIII","August 01"
1,-2.0788927029064,2020-08-01,32,"Africa","VIII","August 01"
1,-2.30704020630417,2020-08-01,33,"Africa","VIII","August 01"
1,-2.34478203682863,2020-08-01,34,"Africa","VIII","August 01"
1,-2.02050737629612,2020-08-01,35,"Africa","VIII","August 01"
1,-2.08747104387776,2020-08-01,36,"Africa","VIII","August 01"
1,-2.12492446101915,2020-08-01,37,"Africa","VIII","August 01"
1,-2.12346293810158,2020-08-01,38,"Africa","VIII","August 01"
1,-2.06553845121645,2020-08-01,39,"Africa","VIII","August 01"
1,-2.28703981927769,2020-08-01,40,"Africa","VIII","August 01"
1,-2.19740793952681,2020-08-01,41,"Africa","VIII","August 01"
1,-2.35628180809371,2020-08-01,42,"Africa","VIII","August 01"
1,-2.36515251805678,2020-08-01,43,"Africa","VIII","August 01"
1,-2.10341823566748,2020-08-01,44,"Africa","VIII","August 01"
1,-2.30037503673775,2020-08-01,45,"Africa","VIII","August 01"
1,-1.99590556740457,2020-08-01,46,"Africa","VIII","August 01"
1,-2.42241887686348,2020-08-01,47,"Africa","VIII","August 01"
1,-2.24976918482379,2020-08-01,48,"Africa","VIII","August 01"
1,-2.17357712476142,2020-08-01,49,"Africa","VIII","August 01"
1,-1.84245217057758,2020-08-01,50,"Africa","VIII","August 01"
1,-2.19378570804238,2020-08-01,51,"Africa","VIII","August 01"
1,-2.02982445932297,2020-08-01,52,"Africa","VIII","August 01"
