"time_period","Tajima_D","start_time_period","num_resampling","seq_continent","Hussin_name","start_time_period_formatted"
1,-1.28262167336397,2020-08-01,1,"Asia","V","August 01"
1,-1.43015276832779,2020-08-01,2,"Asia","V","August 01"
1,-1.50688784218578,2020-08-01,3,"Asia","V","August 01"
1,-1.42938262735713,2020-08-01,4,"Asia","V","August 01"
1,-1.81098418171331,2020-08-01,5,"Asia","V","August 01"
1,-1.32117950486532,2020-08-01,6,"Asia","V","August 01"
1,-1.44232340499066,2020-08-01,7,"Asia","V","August 01"
1,-1.26266124825158,2020-08-01,8,"Asia","V","August 01"
1,-1.81428827311118,2020-08-01,9,"Asia","V","August 01"
1,-1.38373850385846,2020-08-01,10,"Asia","V","August 01"
1,-0.977425691575082,2020-08-01,11,"Asia","V","August 01"
1,-1.62945836967285,2020-08-01,12,"Asia","V","August 01"
1,-1.25303603169455,2020-08-01,13,"Asia","V","August 01"
1,-1.31956032812287,2020-08-01,14,"Asia","V","August 01"
1,-1.22126284504772,2020-08-01,15,"Asia","V","August 01"
1,-1.48983560355067,2020-08-01,16,"Asia","V","August 01"
1,-1.76798697092216,2020-08-01,17,"Asia","V","August 01"
1,-1.44312694720198,2020-08-01,18,"Asia","V","August 01"
1,-1.33566363168821,2020-08-01,19,"Asia","V","August 01"
1,-1.45701879779289,2020-08-01,20,"Asia","V","August 01"
1,-1.90562775079911,2020-08-01,21,"Asia","V","August 01"
1,-1.94854132549468,2020-08-01,22,"Asia","V","August 01"
1,-1.66587893305744,2020-08-01,23,"Asia","V","August 01"
1,-1.84277296101601,2020-08-01,24,"Asia","V","August 01"
1,-1.58972977620008,2020-08-01,25,"Asia","V","August 01"
1,-1.83316180740569,2020-08-01,26,"Asia","V","August 01"
1,-1.55026471477544,2020-08-01,27,"Asia","V","August 01"
1,-1.49041694642909,2020-08-01,28,"Asia","V","August 01"
1,-1.02474902760364,2020-08-01,29,"Asia","V","August 01"
1,-1.24141692223628,2020-08-01,30,"Asia","V","August 01"
1,-1.58769571812799,2020-08-01,31,"Asia","V","August 01"
1,-1.52356079176525,2020-08-01,32,"Asia","V","August 01"
1,-1.42393626486564,2020-08-01,33,"Asia","V","August 01"
1,-0.509890012030194,2020-08-01,34,"Asia","V","August 01"
1,-1.50227049279913,2020-08-01,35,"Asia","V","August 01"
1,-1.15714462177034,2020-08-01,36,"Asia","V","August 01"
1,-1.58493810134761,2020-08-01,37,"Asia","V","August 01"
1,-1.69549421796643,2020-08-01,38,"Asia","V","August 01"
1,-1.63571639950597,2020-08-01,39,"Asia","V","August 01"
1,-1.01732162322974,2020-08-01,40,"Asia","V","August 01"
