"time_period","Tajima_D","start_time_period","num_resampling","seq_continent","Hussin_name","start_time_period_formatted"
1,-1.89818207904464,2020-08-01,1,"Europe","XIV","August 01"
1,-1.94571169201917,2020-08-01,2,"Europe","XIV","August 01"
1,-1.8556172951813,2020-08-01,3,"Europe","XIV","August 01"
1,-1.59381869148981,2020-08-01,4,"Europe","XIV","August 01"
1,-1.67769792313991,2020-08-01,5,"Europe","XIV","August 01"
1,-1.98403297078284,2020-08-01,6,"Europe","XIV","August 01"
1,-1.76530834836922,2020-08-01,7,"Europe","XIV","August 01"
1,-2.21723859869137,2020-08-01,8,"Europe","XIV","August 01"
1,-1.93676153542615,2020-08-01,9,"Europe","XIV","August 01"
1,-1.96702085543868,2020-08-01,10,"Europe","XIV","August 01"
1,-1.84340510337252,2020-08-01,11,"Europe","XIV","August 01"
1,-2.10505108538727,2020-08-01,12,"Europe","XIV","August 01"
1,-2.10665202857427,2020-08-01,13,"Europe","XIV","August 01"
1,-1.71453929164774,2020-08-01,14,"Europe","XIV","August 01"
1,-1.98481558065113,2020-08-01,15,"Europe","XIV","August 01"
1,-2.04860413108288,2020-08-01,16,"Europe","XIV","August 01"
1,-1.86016211868409,2020-08-01,17,"Europe","XIV","August 01"
1,-2.15400630535675,2020-08-01,18,"Europe","XIV","August 01"
1,-2.05677876636599,2020-08-01,19,"Europe","XIV","August 01"
1,-1.98665365641722,2020-08-01,20,"Europe","XIV","August 01"
1,-1.90590035388607,2020-08-01,21,"Europe","XIV","August 01"
1,-2.10587358956342,2020-08-01,22,"Europe","XIV","August 01"
1,-2.11585339928827,2020-08-01,23,"Europe","XIV","August 01"
1,-2.00698895268509,2020-08-01,24,"Europe","XIV","August 01"
1,-1.8008633439348,2020-08-01,25,"Europe","XIV","August 01"
1,-1.71677777194076,2020-08-01,26,"Europe","XIV","August 01"
1,-1.53701950083032,2020-08-01,27,"Europe","XIV","August 01"
1,-2.04861839464536,2020-08-01,28,"Europe","XIV","August 01"
1,-2.27813442127952,2020-08-01,29,"Europe","XIV","August 01"
1,-1.96333244074404,2020-08-01,30,"Europe","XIV","August 01"
1,-2.1280233219415,2020-08-01,31,"Europe","XIV","August 01"
1,-1.47193289496071,2020-08-01,32,"Europe","XIV","August 01"
1,-2.21030264884651,2020-08-01,33,"Europe","XIV","August 01"
1,-2.23894823401244,2020-08-01,34,"Europe","XIV","August 01"
1,-1.98903371243565,2020-08-01,35,"Europe","XIV","August 01"
1,-1.76699691906677,2020-08-01,36,"Europe","XIV","August 01"
1,-2.01442581528997,2020-08-01,37,"Europe","XIV","August 01"
1,-2.05084015611998,2020-08-01,38,"Europe","XIV","August 01"
1,-1.63386090495892,2020-08-01,39,"Europe","XIV","August 01"
1,-2.16447724473547,2020-08-01,40,"Europe","XIV","August 01"
1,-1.84912990648594,2020-08-01,41,"Europe","XIV","August 01"
1,-2.0015654600463,2020-08-01,42,"Europe","XIV","August 01"
1,-2.0292434465834,2020-08-01,43,"Europe","XIV","August 01"
1,-1.92670284754978,2020-08-01,44,"Europe","XIV","August 01"
1,-1.63997499621512,2020-08-01,45,"Europe","XIV","August 01"
1,-1.71561957380979,2020-08-01,46,"Europe","XIV","August 01"
1,-2.00838947475527,2020-08-01,47,"Europe","XIV","August 01"
1,-2.00838947475527,2020-08-01,48,"Europe","XIV","August 01"
1,-2.25268452782748,2020-08-01,49,"Europe","XIV","August 01"
1,-1.81864933989805,2020-08-01,50,"Europe","XIV","August 01"
1,-1.63698931867954,2020-08-01,51,"Europe","XIV","August 01"
1,-1.99343365873843,2020-08-01,52,"Europe","XIV","August 01"
1,-2.09576860184341,2020-08-01,53,"Europe","XIV","August 01"
1,-1.89908933079327,2020-08-01,54,"Europe","XIV","August 01"
1,-1.88686615009416,2020-08-01,55,"Europe","XIV","August 01"
1,-1.96756089447838,2020-08-01,56,"Europe","XIV","August 01"
1,-1.79196248264689,2020-08-01,57,"Europe","XIV","August 01"
1,-1.85846084894882,2020-08-01,58,"Europe","XIV","August 01"
1,-1.28411831693584,2020-08-01,59,"Europe","XIV","August 01"
1,-1.98517913012768,2020-08-01,60,"Europe","XIV","August 01"
1,-2.07978960735952,2020-08-01,61,"Europe","XIV","August 01"
1,-2.14284766535652,2020-08-01,62,"Europe","XIV","August 01"
1,-2.10461575958067,2020-08-01,63,"Europe","XIV","August 01"
1,-2.23233960163074,2020-08-01,64,"Europe","XIV","August 01"
1,-2.10213603949384,2020-08-01,65,"Europe","XIV","August 01"
1,-2.00894398535379,2020-08-01,66,"Europe","XIV","August 01"
1,-2.06292749867896,2020-08-01,67,"Europe","XIV","August 01"
1,-2.01894765757468,2020-08-01,68,"Europe","XIV","August 01"
