"time_period","Tajima_D","start_time_period","num_resampling","seq_continent","Hussin_name","start_time_period_formatted"
1,-2.38953986109982,2020-08-01,1,"North America","II","August 01"
1,-2.32904918522377,2020-08-01,2,"North America","II","August 01"
1,-2.42311372225973,2020-08-01,3,"North America","II","August 01"
1,-2.22104974621361,2020-08-01,4,"North America","II","August 01"
1,-2.27176845400865,2020-08-01,5,"North America","II","August 01"
1,-2.17919496725108,2020-08-01,6,"North America","II","August 01"
1,-2.29525039156607,2020-08-01,7,"North America","II","August 01"
1,-2.13273203667596,2020-08-01,8,"North America","II","August 01"
1,-2.32344064995872,2020-08-01,9,"North America","II","August 01"
1,-2.47803315418127,2020-08-01,10,"North America","II","August 01"
1,-2.23567815109426,2020-08-01,11,"North America","II","August 01"
1,-2.43313151209553,2020-08-01,12,"North America","II","August 01"
1,-2.26081140664131,2020-08-01,13,"North America","II","August 01"
1,-2.14642020456121,2020-08-01,14,"North America","II","August 01"
1,-2.36640146242073,2020-08-01,15,"North America","II","August 01"
1,-2.29042961512595,2020-08-01,16,"North America","II","August 01"
1,-2.14324297180415,2020-08-01,17,"North America","II","August 01"
1,-2.29278376290636,2020-08-01,18,"North America","II","August 01"
1,-2.15619853676819,2020-08-01,19,"North America","II","August 01"
1,-2.39041872882932,2020-08-01,20,"North America","II","August 01"
1,-2.3593210366808,2020-08-01,21,"North America","II","August 01"
1,-1.97975805204884,2020-08-01,22,"North America","II","August 01"
1,-2.27362950195456,2020-08-01,23,"North America","II","August 01"
1,-2.41882118656018,2020-08-01,24,"North America","II","August 01"
1,-2.38764734472608,2020-08-01,25,"North America","II","August 01"
1,-2.28710794988236,2020-08-01,26,"North America","II","August 01"
1,-2.33344511269448,2020-08-01,27,"North America","II","August 01"
1,-2.08339359465305,2020-08-01,28,"North America","II","August 01"
1,-2.1129046533545,2020-08-01,29,"North America","II","August 01"
1,-2.34510534738457,2020-08-01,30,"North America","II","August 01"
1,-2.27656649365058,2020-08-01,31,"North America","II","August 01"
1,-2.3493523951081,2020-08-01,32,"North America","II","August 01"
1,-2.39787686862395,2020-08-01,33,"North America","II","August 01"
1,-2.37036314537851,2020-08-01,34,"North America","II","August 01"
1,-2.22039371865875,2020-08-01,35,"North America","II","August 01"
1,-2.40788371712267,2020-08-01,36,"North America","II","August 01"
1,-2.42722061616994,2020-08-01,37,"North America","II","August 01"
1,-2.27889418103388,2020-08-01,38,"North America","II","August 01"
1,-2.22323862356903,2020-08-01,39,"North America","II","August 01"
1,-2.32350272536601,2020-08-01,40,"North America","II","August 01"
1,-2.1908350297056,2020-08-01,41,"North America","II","August 01"
1,-2.2005405461706,2020-08-01,42,"North America","II","August 01"
1,-2.13663529178254,2020-08-01,43,"North America","II","August 01"
1,-2.28735657215619,2020-08-01,44,"North America","II","August 01"
1,-2.35656080317172,2020-08-01,45,"North America","II","August 01"
1,-2.3268828732777,2020-08-01,46,"North America","II","August 01"
1,-2.29641529064114,2020-08-01,47,"North America","II","August 01"
1,-2.43221515730211,2020-08-01,48,"North America","II","August 01"
1,-2.43760986166487,2020-08-01,49,"North America","II","August 01"
1,-2.44437363623141,2020-08-01,50,"North America","II","August 01"
1,-2.26118321726068,2020-08-01,51,"North America","II","August 01"
1,-2.33645849723787,2020-08-01,52,"North America","II","August 01"
1,-2.17785879396272,2020-08-01,53,"North America","II","August 01"
1,-2.51262407427912,2020-08-01,54,"North America","II","August 01"
1,-2.32433487495651,2020-08-01,55,"North America","II","August 01"
1,-2.3386209326464,2020-08-01,56,"North America","II","August 01"
1,-2.23294380266611,2020-08-01,57,"North America","II","August 01"
1,-2.14148239902655,2020-08-01,58,"North America","II","August 01"
1,-2.30769325340213,2020-08-01,59,"North America","II","August 01"
1,-2.29253195975663,2020-08-01,60,"North America","II","August 01"
1,-2.21985659176627,2020-08-01,61,"North America","II","August 01"
1,-2.42778478544955,2020-08-01,62,"North America","II","August 01"
1,-2.50652218586292,2020-08-01,63,"North America","II","August 01"
1,-2.16992043175384,2020-08-01,64,"North America","II","August 01"
1,-2.36032323583407,2020-08-01,65,"North America","II","August 01"
1,-2.32204113496248,2020-08-01,66,"North America","II","August 01"
1,-2.37055775345691,2020-08-01,67,"North America","II","August 01"
1,-2.29211257705807,2020-08-01,68,"North America","II","August 01"
1,-2.39762535061315,2020-08-01,69,"North America","II","August 01"
1,-2.34207080081474,2020-08-01,70,"North America","II","August 01"
1,-2.15422021182908,2020-08-01,71,"North America","II","August 01"
1,-2.33209937183588,2020-08-01,72,"North America","II","August 01"
