"time_period","Tajima_D","start_time_period","num_resampling","seq_continent","Hussin_name","start_time_period_formatted"
1,-2.58523166623464,2020-08-01,1,"Oceania","XI","August 01"
1,-2.11956131843779,2020-08-01,2,"Oceania","XI","August 01"
1,-2.28468651050746,2020-08-01,3,"Oceania","XI","August 01"
1,-2.28734211423642,2020-08-01,4,"Oceania","XI","August 01"
1,-2.37301464471543,2020-08-01,5,"Oceania","XI","August 01"
1,-2.22300180739259,2020-08-01,6,"Oceania","XI","August 01"
1,-2.34643807106573,2020-08-01,7,"Oceania","XI","August 01"
1,-2.41975069303251,2020-08-01,8,"Oceania","XI","August 01"
1,-2.01824285202065,2020-08-01,9,"Oceania","XI","August 01"
1,-2.28419043869274,2020-08-01,10,"Oceania","XI","August 01"
1,-2.30836749202657,2020-08-01,11,"Oceania","XI","August 01"
1,-2.46687380668239,2020-08-01,12,"Oceania","XI","August 01"
1,-2.20348043775439,2020-08-01,13,"Oceania","XI","August 01"
1,-2.42223533467403,2020-08-01,14,"Oceania","XI","August 01"
1,-2.15576153419436,2020-08-01,15,"Oceania","XI","August 01"
1,-2.47388731869661,2020-08-01,16,"Oceania","XI","August 01"
1,-2.26204454666897,2020-08-01,17,"Oceania","XI","August 01"
1,-2.25908249598103,2020-08-01,18,"Oceania","XI","August 01"
1,-2.49076327738397,2020-08-01,19,"Oceania","XI","August 01"
1,-2.15584060777666,2020-08-01,20,"Oceania","XI","August 01"
1,-2.27053264652423,2020-08-01,21,"Oceania","XI","August 01"
1,-2.2663826288108,2020-08-01,22,"Oceania","XI","August 01"
1,-2.18253084559766,2020-08-01,23,"Oceania","XI","August 01"
1,-2.2375079524425,2020-08-01,24,"Oceania","XI","August 01"
1,-2.23769610535846,2020-08-01,25,"Oceania","XI","August 01"
1,-2.19836478941067,2020-08-01,26,"Oceania","XI","August 01"
1,-2.47358396107686,2020-08-01,27,"Oceania","XI","August 01"
1,-2.35586932600974,2020-08-01,28,"Oceania","XI","August 01"
1,-2.50178391869718,2020-08-01,29,"Oceania","XI","August 01"
1,-2.27407159499403,2020-08-01,30,"Oceania","XI","August 01"
1,-2.47979426155434,2020-08-01,31,"Oceania","XI","August 01"
1,-2.31397489503792,2020-08-01,32,"Oceania","XI","August 01"
1,-2.20563452355484,2020-08-01,33,"Oceania","XI","August 01"
1,-2.33252016818117,2020-08-01,34,"Oceania","XI","August 01"
1,-2.2862332398356,2020-08-01,35,"Oceania","XI","August 01"
1,-2.46440017422918,2020-08-01,36,"Oceania","XI","August 01"
1,-2.17044132902538,2020-08-01,37,"Oceania","XI","August 01"
1,-2.30004545394193,2020-08-01,38,"Oceania","XI","August 01"
1,-2.38752020857297,2020-08-01,39,"Oceania","XI","August 01"
1,-2.48946712115141,2020-08-01,40,"Oceania","XI","August 01"
1,-2.32138590536017,2020-08-01,41,"Oceania","XI","August 01"
