"time_period","Tajima_D","start_time_period","num_resampling","seq_continent","Hussin_name","start_time_period_formatted"
1,-2.19083311430457,2020-08-01,1,"South America","VIII","August 01"
1,-2.38214765889073,2020-08-01,2,"South America","VIII","August 01"
1,-2.22753487451891,2020-08-01,3,"South America","VIII","August 01"
1,-2.27167691069912,2020-08-01,4,"South America","VIII","August 01"
1,-2.31747013784348,2020-08-01,5,"South America","VIII","August 01"
1,-2.22075187005221,2020-08-01,6,"South America","VIII","August 01"
1,-2.22984844377527,2020-08-01,7,"South America","VIII","August 01"
1,-2.44892788356086,2020-08-01,8,"South America","VIII","August 01"
1,-2.30357002928117,2020-08-01,9,"South America","VIII","August 01"
1,-2.16786910590039,2020-08-01,10,"South America","VIII","August 01"
1,-2.33823776881905,2020-08-01,11,"South America","VIII","August 01"
1,-2.35719233159428,2020-08-01,12,"South America","VIII","August 01"
1,-2.29816399204602,2020-08-01,13,"South America","VIII","August 01"
1,-2.20538800094881,2020-08-01,14,"South America","VIII","August 01"
1,-2.22282952022537,2020-08-01,15,"South America","VIII","August 01"
1,-2.33922963810429,2020-08-01,16,"South America","VIII","August 01"
1,-2.47414694604252,2020-08-01,17,"South America","VIII","August 01"
1,-2.16431842231049,2020-08-01,18,"South America","VIII","August 01"
1,-2.1235335288632,2020-08-01,19,"South America","VIII","August 01"
1,-2.16965951707278,2020-08-01,20,"South America","VIII","August 01"
1,-2.37643308730585,2020-08-01,21,"South America","VIII","August 01"
1,-2.34776095796233,2020-08-01,22,"South America","VIII","August 01"
1,-2.18761491112475,2020-08-01,23,"South America","VIII","August 01"
1,-2.39641617946873,2020-08-01,24,"South America","VIII","August 01"
1,-2.41279876254503,2020-08-01,25,"South America","VIII","August 01"
1,-2.19294814495935,2020-08-01,26,"South America","VIII","August 01"
1,-2.36328780038628,2020-08-01,27,"South America","VIII","August 01"
1,-2.41705831638612,2020-08-01,28,"South America","VIII","August 01"
1,-2.29092342084608,2020-08-01,29,"South America","VIII","August 01"
1,-2.33270613417204,2020-08-01,30,"South America","VIII","August 01"
1,-2.31179007205259,2020-08-01,31,"South America","VIII","August 01"
1,-2.28775865657001,2020-08-01,32,"South America","VIII","August 01"
1,-2.09139564984699,2020-08-01,33,"South America","VIII","August 01"
1,-2.05690084833318,2020-08-01,34,"South America","VIII","August 01"
1,-2.2121673564622,2020-08-01,35,"South America","VIII","August 01"
1,-2.26128853059492,2020-08-01,36,"South America","VIII","August 01"
1,-2.44918906704359,2020-08-01,37,"South America","VIII","August 01"
1,-2.231314896709,2020-08-01,38,"South America","VIII","August 01"
1,-2.35013467129855,2020-08-01,39,"South America","VIII","August 01"
1,-2.38265516029945,2020-08-01,40,"South America","VIII","August 01"
1,-2.3929841766625,2020-08-01,41,"South America","VIII","August 01"
1,-2.30861590352891,2020-08-01,42,"South America","VIII","August 01"
1,-2.35644051112424,2020-08-01,43,"South America","VIII","August 01"
1,-2.32323366167176,2020-08-01,44,"South America","VIII","August 01"
1,-2.15163642442928,2020-08-01,45,"South America","VIII","August 01"
1,-2.05065411731212,2020-08-01,46,"South America","VIII","August 01"
1,-2.41616432691064,2020-08-01,47,"South America","VIII","August 01"
1,-2.28365784037203,2020-08-01,48,"South America","VIII","August 01"
1,-2.0801554061337,2020-08-01,49,"South America","VIII","August 01"
1,-2.19254029822862,2020-08-01,50,"South America","VIII","August 01"
1,-2.34045525545966,2020-08-01,51,"South America","VIII","August 01"
1,-2.13141291260631,2020-08-01,52,"South America","VIII","August 01"
1,-2.27150735362628,2020-08-01,53,"South America","VIII","August 01"
1,-2.35096458286573,2020-08-01,54,"South America","VIII","August 01"
1,-2.23031368652699,2020-08-01,55,"South America","VIII","August 01"
1,-2.19493876634313,2020-08-01,56,"South America","VIII","August 01"
1,-2.36235425270902,2020-08-01,57,"South America","VIII","August 01"
1,-2.08010997156987,2020-08-01,58,"South America","VIII","August 01"
1,-2.26343933769314,2020-08-01,59,"South America","VIII","August 01"
1,-2.39998100922316,2020-08-01,60,"South America","VIII","August 01"
1,-2.00686228993609,2020-08-01,61,"South America","VIII","August 01"
